*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Untitled Sketch 5
*Date=12:26:47
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;60.5725;-9.40266;0;Bottom;TXT10
2;;;58.7946;-51.1292;-90;Bottom;TXT8
3;;300 mil [THT];51.6853;-7.94922;0;Bottom; 
4;;;65.7936;-12.5211;-90;Bottom;TXT6
5;;;2.18063;-89.2292;0;Bottom;Hole6
6;;;4.72073;-23.1892;-90;Bottom;  
7;;;37.1996;-68.3827;0;Bottom;TXT39
8;;;63.2537;-12.7469;-90;Bottom;TXT5
9;;;58.7771;-66.4539;-90;Bottom;TXT8
10;;;30.6849;-79.7747;0;Bottom;TXT27
11;;;51.5225;-44.2382;0;Bottom;TXT60
12;;;17.2775;-68.1685;0;Bottom;TXT44
13;;;58.7946;-56.2092;-90;Bottom;TXT8
14;;;2.18063;-2.86932;0;Bottom;Hole9
15;;;23.0457;-68.1801;0;Bottom;TXT45
16;;;63.1407;-35.8892;90;Bottom; 
17;;;63.1407;-30.8092;90;Bottom; 
18;;;58.7946;-35.6634;-90;Bottom;TXT8
19;;;38.8696;-49.7181;0;Bottom;TXT46
20;;;65.8165;-86.6187;0;Bottom;TXT42
21;;;17.1385;-43.7398;0;Bottom;TXT57
22;;;38.8696;-52.117;0;Bottom;TXT48
23;;;39.7779;-68.4411;0;Bottom;TXT44
24;;;15.0218;-52.117;0;Bottom;TXT48
25;;;65.8337;-76.0736;0;Bottom;TXT4
26;;;42.7316;-69.5975;0;Bottom;TXT43
27;;;47.0541;-49.8592;0;Bottom;TXT51
28;;;38.5874;-54.657;0;Bottom;TXT47
29;;;4.62672;-26.8583;-90;Bottom;TXT34
30;;;63.1407;-71.4492;90;Bottom; 
31;;;68.2206;-2.86932;0;Bottom;Hole8
32;;;41.4096;-57.197;0;Bottom;TXT52
33;;;4.72073;-18.1092;-90;Bottom; 
34;;;65.2715;-9.58611;0;Bottom;TXT11
35;;;47.0541;-52.3992;0;Bottom;TXT51
36;;;39.9985;-41.6466;0;Bottom;TXT56
37;;;31.3907;-49.7199;0;Bottom;TXT62
38;;;9.89497;-20.3668;0;Bottom;TXT8
39;;;19.1612;-60.2544;0;Bottom;TXT32
40;;;4.72073;-15.5692;-90;Bottom; 
41;;;66.2686;-81.4234;0;Bottom;TXT2
42;;;66.3827;-83.9728;0;Bottom;TXT1
43;;;9.89497;-23.0008;0;Bottom;TXT8
44;;;4.77404;-12.1308;-90;Bottom;TXT34
45;;;65.8337;-78.7076;0;Bottom;TXT3
46;;;51.5696;-39.2525;0;Bottom;TXT61
47;;;20.7603;-3.05746;0;Bottom;TXT36
48;;;2.46279;-26.67;-90;Bottom;TXT33
49;;;51.2874;-41.7453;0;Bottom;TXT59
50;;;14.9099;-69.2782;0;Bottom;TXT39
51;;;4.72073;-20.6492;-90;Bottom;  
52;;;58.7946;-15.6818;-90;Bottom;TXT8
53;;;42.833;-68.478;0;Bottom;TXT43
54;;;28.5685;-43.9797;0;Bottom;TXT60
55;;;63.1407;-51.1292;90;Bottom; 
56;;;22.5008;-76.9526;0;Bottom;TXT31
57;;;58.7382;-61.4021;-90;Bottom;TXT8
58;;;60.6848;-86.6416;0;Bottom;TXT40
59;;;58.7946;-46.1057;-90;Bottom;TXT8
60;;THT;41.5507;-66.3692;-90;Bottom; 
61;;;22.5572;-6.32644;0;Bottom;TXT36
62;;;46.913;-54.7981;0;Bottom;TXT51
63;;;33.6485;-22.7658;0;Bottom;TXT53
64;;;63.176;-86.721;0;Bottom;TXT41
65;;;45.9889;-69.5508;0;Bottom;TXT45
66;;;14.9097;-68.2424;0;Bottom;TXT39
67;;;28.5685;-41.2986;0;Bottom;TXT59
68;;;63.1407;-61.2892;90;Bottom;  
69;;;31.3907;-61.9242;0;Bottom;  
70;;;63.1407;-56.2092;90;Bottom;  
71;;;18.1263;-57.4792;0;Bottom;TXT52
72;;;32.6522;-20.6492;90;Bottom;  
73;;;14.8807;-49.1537;0;Bottom;TXT46
